标题,个人评分,打分日期,条目链接,评论
"海上钢琴师 / La leggenda del pianista sull'oceano","","2022-08-03","https://movie.douban.com/subject/1292001/","",
"阿甘正传 / Forrest Gump","","2022-08-03","https://movie.douban.com/subject/1292720/","",
"当幸福来敲门 / The Pursuit of Happyness","","2022-08-03","https://movie.douban.com/subject/1849031/","",
"肖申克的救赎 / The Shawshank Redemption","","2022-08-03","https://movie.douban.com/subject/1292052/","",
"三傻大闹宝莱坞 / 3 Idiots","","2022-08-03","https://movie.douban.com/subject/3793023/","",
"这个杀手不太冷 / Léon","","2022-08-03","https://movie.douban.com/subject/1295644/","",
"让子弹飞","","2022-08-03","https://movie.douban.com/subject/3742360/","",
"星际穿越 / Interstellar","","2022-08-03","https://movie.douban.com/subject/1889243/","",
"楚门的世界 / The Truman Show","","2022-08-03","https://movie.douban.com/subject/1292064/","",
"一个叫欧维的男人决定去死 / En man som heter Ove","5","2022-08-04","https://movie.douban.com/subject/26628357/","",
"芬奇 / Finch","4","2022-08-04","https://movie.douban.com/subject/26897885/","",
"火星救援 / The Martian","3","2022-08-04","https://movie.douban.com/subject/25864085/","",
"禁闭岛 / Shutter Island","4","2022-08-05","https://movie.douban.com/subject/2334904/","",
"三块广告牌 / Three Billboards Outside Ebbing, Missouri","","2022-08-05","https://movie.douban.com/subject/26611804/","",
"无间道 / 無間道","5","2022-08-08","https://movie.douban.com/subject/1307914/","",
"小黄人大眼萌：神偷奶爸前传 / Minions: The Rise of Gru","5","2022-08-09","https://movie.douban.com/subject/26642033/","",
"我不是药神","5","2022-08-12","https://movie.douban.com/subject/26752088/","",
"素媛 / 소원","5","2022-08-12","https://movie.douban.com/subject/21937452/","",
"摔跤吧！爸爸 / Dangal","5","2022-08-12","https://movie.douban.com/subject/26387939/","",
"蜘蛛侠：平行宇宙 / Spider-Man: Into the Spider-Verse","4","2022-08-12","https://movie.douban.com/subject/26374197/","",
"信条 / Tenet","4","2022-08-12","https://movie.douban.com/subject/30444960/","",
"招魂 / The Conjuring","4","2022-08-12","https://movie.douban.com/subject/3804629/","",
"死寂 / Dead Silence","4","2022-08-12","https://movie.douban.com/subject/1895120/","",
"孤儿怨 / Orphan","4","2022-08-12","https://movie.douban.com/subject/3011308/","",
"假如…？ 第一季 / What If...? Season 1","4","2022-08-15","https://movie.douban.com/subject/33408073/","",
"怪诞小镇 第二季 / Gravity Falls Season 2","5","2022-08-15","https://movie.douban.com/subject/21485010/","",
"怪诞小镇 第一季 / Gravity Falls Season 1","5","2022-08-15","https://movie.douban.com/subject/6874354/","",
"瑞克和莫蒂 第五季 / Rick and Morty Season 5","5","2022-08-15","https://movie.douban.com/subject/34908206/","",
"瑞克和莫蒂 第四季 / Rick and Morty Season 4","5","2022-08-15","https://movie.douban.com/subject/27166039/","",
"瑞克和莫蒂 第三季 / Rick and Morty Season 3","5","2022-08-15","https://movie.douban.com/subject/26592971/","",
"瑞克和莫蒂 第二季 / Rick and Morty Season 2","5","2022-08-15","https://movie.douban.com/subject/25865470/","",
"罗小黑战记","5","2022-08-15","https://movie.douban.com/subject/10477598/","",
"瑞克和莫蒂 第一季 / Rick and Morty Season 1","5","2022-08-15","https://movie.douban.com/subject/11537954/","",
"血战钢锯岭 / Hacksaw Ridge","4","2022-09-04","https://movie.douban.com/subject/26325320/","",
"起风了 / 風立ちぬ","5","2022-09-11","https://movie.douban.com/subject/6791750/","",
"四叠半神话大系 / 四畳半神話大系","5","2022-09-12","https://movie.douban.com/subject/4195678/","",
"神奇动物在哪里 / Fantastic Beasts and Where to Find Them","5","2022-09-25","https://movie.douban.com/subject/25726614/","",
"盗梦空间 / Inception","5","2022-10-02","https://movie.douban.com/subject/3541415/","",
"神探大战 / 神探大戰","5","2022-10-03","https://movie.douban.com/subject/26995893/","",
"消失的爱人 / Gone Girl","4","2022-10-04","https://movie.douban.com/subject/21318488/","",
"战争之王 / Lord of War","5","2022-10-05","https://movie.douban.com/subject/1419936/","",
"波斯语课 / Persischstunden","4","2022-10-09","https://movie.douban.com/subject/30466931/","",
"四叠半时光机 / 四畳半タイムマシンブルース","5","2022-10-22","https://movie.douban.com/subject/35563505/","",
"多哥 / Togo","5","2022-10-30","https://movie.douban.com/subject/30271841/","",
"少年派的奇幻漂流 / Life of Pi","5","2022-11-06","https://movie.douban.com/subject/1929463/","",
"狙击手","5","2022-11-20","https://movie.douban.com/subject/35215390/","",
"本杰明·巴顿奇事 / The Curious Case of Benjamin Button","5","2022-11-27","https://movie.douban.com/subject/1485260/","",
"放牛班的春天 / Les choristes","5","2022-12-03","https://movie.douban.com/subject/1291549/","",
"何以为家 / كفرناحوم","5","2022-12-09","https://movie.douban.com/subject/30170448/","",
"寻梦环游记 / Coco","5","2022-12-09","https://movie.douban.com/subject/20495023/","",
"触不可及 / Intouchables","5","2022-12-10","https://movie.douban.com/subject/6786002/","",
"窃听风暴 / Das Leben der Anderen","5","2022-12-10","https://movie.douban.com/subject/1900841/","",
"海蒂和爷爷 / Heidi","5","2022-12-11","https://movie.douban.com/subject/25958717/","",
"利刃出鞘 / Knives Out","5","2022-12-24","https://movie.douban.com/subject/30318116/","",
"万里归途","4","2022-12-26","https://movie.douban.com/subject/26654184/","",
"闻香识女人 / Scent of a Woman","5","2022-12-28","https://movie.douban.com/subject/1298624/","",
"星际牛仔 / カウボーイビバップ","5","2022-12-29","https://movie.douban.com/subject/1424406/","",
"星际牛仔 天国之门 / カウボーイビバップ 天国の扉","3","2022-12-30","https://movie.douban.com/subject/1307031/","第二次看
全片就是一场抛下逻辑而又令人着迷的彻夜狂欢",
"利刃出鞘2 / Glass Onion: A Knives Out Mystery","4","2023-01-04","https://movie.douban.com/subject/34939037/","",
"混沌武士 / サムライチャンプルー","5","2023-01-06","https://movie.douban.com/subject/1460915/","",
"寄生虫 / 기생충","5","2023-01-08","https://movie.douban.com/subject/27010768/","",
"坏蛋联盟 / The Bad Guys","4","2023-01-08","https://movie.douban.com/subject/30165311/","",
"新世纪福音战士 / 新世紀エヴァンゲリオン","5","2023-01-10","https://movie.douban.com/subject/1457573/","",
"阴谋职场 第一季 / Inside Job Season 1","5","2023-01-11","https://movie.douban.com/subject/33425877/","",
"瑞克和莫蒂 第六季 / Rick and Morty Season 6","5","2023-01-11","https://movie.douban.com/subject/35597581/","",
"特别的她 / FLCL","5","2023-01-11","https://movie.douban.com/subject/1412436/","",
"新世纪福音战士剧场版：Air/真心为你 / 新世紀エヴァンゲリオン劇...","5","2023-01-11","https://movie.douban.com/subject/1308892/","",
"怪奇物语 第一季 / Stranger Things Season 1","5","2023-01-13","https://movie.douban.com/subject/26359270/","",
"华尔街之狼 / The Wolf of Wall Street","4","2023-01-14","https://movie.douban.com/subject/2997076/","",
"福音战士新剧场版：序 / ヱヴァンゲリヲン新劇場版：序","5","2023-01-16","https://movie.douban.com/subject/1968790/","",
"新世纪福音战士剧场版：死与新生 / 新世紀エヴァンゲリオン劇場版 ...","5","2023-01-16","https://movie.douban.com/subject/1455442/","",
"福音战士新剧场版：Q / ヱヴァンゲリヲン新劇場版：Q","4","2023-01-16","https://movie.douban.com/subject/2567647/","",
"福音战士新剧场版：破 / ヱヴァンゲリヲン新劇場版：破","5","2023-01-16","https://movie.douban.com/subject/2567646/","",
"闪灵 / The Shining","4","2023-01-17","https://movie.douban.com/subject/1292225/","",
"纸人回魂","3","2023-01-19","https://movie.douban.com/subject/36200703/","",
"飞屋环游记 / Up","5","2023-01-22","https://movie.douban.com/subject/2129039/","",
"失控玩家 / Free Guy","4","2023-01-23","https://movie.douban.com/subject/30337388/","",
"心灵奇旅 / Soul","5","2023-01-23","https://movie.douban.com/subject/24733428/","",
"蝙蝠侠：黑暗骑士 / The Dark Knight","5","2023-01-26","https://movie.douban.com/subject/1851857/","",
"蝙蝠侠：侠影之谜 / Batman Begins","5","2023-01-26","https://movie.douban.com/subject/1309069/","",
"新蝙蝠侠 / The Batman","4","2023-01-28","https://movie.douban.com/subject/6424756/","",
"长津湖之水门桥","4","2023-01-28","https://movie.douban.com/subject/35613853/","",
"满江红","5","2023-01-28","https://movie.douban.com/subject/35766491/","",
"情书 / Love Letter","4","2023-01-31","https://movie.douban.com/subject/1292220/","現在覺得節奏有點慢，不知道是我变燥了？
如果当做爱情片来看的话，我觉得在同类型里烘托气氛的还是不及花样年华，不过中山美穗的演技是真的非常不错，如果没有这样好的演员，我真的很难能看得下去
两星给演员，一星给摄影，一星给雪山",
"还是觉得你最好 / 飯戲攻心","4","2023-01-31","https://movie.douban.com/subject/35503125/","",
"西线无战事 / Im Westen nichts Neues","5","2023-01-31","https://movie.douban.com/subject/3042261/","",
"功勋","5","2023-02-02","https://movie.douban.com/subject/34951103/","",
"蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises","5","2023-02-02","https://movie.douban.com/subject/3395373/","",
"穿靴子的猫2 / Puss in Boots: The Last Wish","5","2023-02-02","https://movie.douban.com/subject/25868125/","",
"流浪地球2","4","2023-02-02","https://movie.douban.com/subject/35267208/","",
"爱，死亡和机器人 第三季 / Love, Death & Robots Season 3","5","2023-02-03","https://movie.douban.com/subject/35436582/","",
"疯狂动物城+ / Zootopia+","5","2023-02-03","https://movie.douban.com/subject/35284242/","",
"深海","5","2023-02-26","https://movie.douban.com/subject/26649682/","",
"我在岛屿读书","5","2023-02-26","https://movie.douban.com/subject/35891669/","",
"中国奇谭","5","2023-02-26","https://movie.douban.com/subject/35674355/","",
"攻壳机动队 / 攻殻機動隊","5","2023-03-05","https://movie.douban.com/subject/1291936/","终于等到影院！可惜是小厅没有 imax 而且竟然蠢到没带眼镜（实在神经）
但是依旧震撼！",
"攻壳机动队2：无罪 / 攻殻機動隊2 イノセンス","5","2023-03-12","https://movie.douban.com/subject/1291566/","",
"铃芽之旅 / すずめの戸締まり","4","2023-03-25","https://movie.douban.com/subject/35371261/","",
"言叶之庭 / 言の葉の庭","5","2023-04-08","https://movie.douban.com/subject/20470074/","",
"末代皇帝 / The Last Emperor","5","2023-04-08","https://movie.douban.com/subject/1293172/","",
"爱，死亡和机器人 第二季 / Love, Death & Robots Season 2","3","2023-04-16","https://movie.douban.com/subject/34418203/","",
"爱，死亡和机器人 第一季 / Love, Death & Robots Season 1","5","2023-04-16","https://movie.douban.com/subject/30424374/","",
"秒速5厘米 / 秒速5センチメートル","5","2023-04-16","https://movie.douban.com/subject/2043546/","",
"阿凡达：水之道 / Avatar: The Way of Water","5","2023-04-29","https://movie.douban.com/subject/4811774/","",
"奇巧计程车 / オッドタクシー","5","2023-05-01","https://movie.douban.com/subject/35332568/","",
"紫罗兰永恒花园 / ヴァイオレット・エヴァーガーデン","4","2023-06-05","https://movie.douban.com/subject/26805209/","",
"千年女优 / 千年女優","5","2023-06-06","https://movie.douban.com/subject/1307394/","",
"蜘蛛侠：纵横宇宙 / Spider-Man: Across the Spider-Verse","5","2023-07-15","https://movie.douban.com/subject/30391186/","",
"你的名字。 / 君の名は。","5","2023-07-16","https://movie.douban.com/subject/26683290/","",
"紫罗兰永恒花园 剧场版 / 劇場版 ヴァイオレット・エヴァーガーデン","5","2023-07-16","https://movie.douban.com/subject/30179560/","",
"我在伊朗长大 / Persepolis","5","2023-07-17","https://movie.douban.com/subject/1962116/","",
"未麻的部屋 / Perfect Blue","5","2023-07-17","https://movie.douban.com/subject/1395091/","",
"红辣椒 / パプリカ","5","2023-07-17","https://movie.douban.com/subject/1865703/","",
"伦敦一家人 / Ethel & Ernest","5","2023-07-23","https://movie.douban.com/subject/5327189/","",
"指环王1：护戒使者 / The Lord of the Rings: The Fellowship of t...","4","2023-07-23","https://movie.douban.com/subject/1291571/","",
"指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers","4","2023-07-24","https://movie.douban.com/subject/1291572/","",
"东京教父 / 東京ゴッドファーザーズ","5","2023-07-24","https://movie.douban.com/subject/1310177/","",
"听到涛声 / 海がきこえる","5","2023-07-25","https://movie.douban.com/subject/1418640/","",
"大闹天宫","5","2023-07-26","https://movie.douban.com/subject/1418019/","",
"天空之城 / 天空の城ラピュタ","5","2023-07-26","https://movie.douban.com/subject/1291583/","",
"指环王3：王者无敌 / The Lord of the Rings: The Return of the King","5","2023-07-28","https://movie.douban.com/subject/1291552/","",
"但是还有书籍 第二季","5","2023-08-02","https://movie.douban.com/subject/35295845/","",
"但是还有书籍","5","2023-08-02","https://movie.douban.com/subject/33418361/","",
"雾山五行","5","2023-08-03","https://movie.douban.com/subject/30395914/","",
"大理寺日志2","5","2023-08-04","https://movie.douban.com/subject/35797488/","",
"大理寺日志","5","2023-08-04","https://movie.douban.com/subject/30395911/","",
"敦刻尔克 / Dunkirk","4","2023-08-19","https://movie.douban.com/subject/26607693/","",
"小丑 / Joker","5","2023-08-19","https://movie.douban.com/subject/27119724/","",
"茶馆","5","2023-08-19","https://movie.douban.com/subject/1461403/","",
"红楼梦","5","2023-08-24","https://movie.douban.com/subject/1864810/","",
"奥本海默 / Oppenheimer","5","2023-08-31","https://movie.douban.com/subject/35593344/","",
"云图 / Cloud Atlas","5","2023-09-29","https://movie.douban.com/subject/3530403/","",
"长安三万里","5","2023-10-01","https://movie.douban.com/subject/36035676/","",
"赛博朋克：边缘行者 第一季 / Cyberpunk: Edgerunners Season 1","5","2023-10-03","https://movie.douban.com/subject/35118256/","",
"芭比 / Barbie","5","2023-10-21","https://movie.douban.com/subject/4058939/","",
"将军号 / The General","5","2023-10-28","https://movie.douban.com/subject/1292778/","",
"白日梦想家 / The Secret Life of Walter Mitty","5","2023-10-29","https://movie.douban.com/subject/2133323/","",
"福尔摩斯二世 / Sherlock Jr.","5","2023-11-04","https://movie.douban.com/subject/1303408/","",
"DARLING in the FRANXX / ダーリン・イン・ザ・フランキス","5","2023-11-05","https://movie.douban.com/subject/27080657/","",
"城市之光 / City Lights","5","2023-11-18","https://movie.douban.com/subject/1293908/","",
"红猪 / 紅の豚","5","2023-11-18","https://movie.douban.com/subject/1291838/","",
"宇宙探索编辑部","5","2024-01-28","https://movie.douban.com/subject/34941536/","",
"涉过愤怒的海","4","2024-01-28","https://movie.douban.com/subject/33456512/","",
"超脱 / Detachment","5","2024-02-01","https://movie.douban.com/subject/5322596/","",
"瑞克和莫蒂 第七季 / Rick and Morty Season 7","5","2024-02-01","https://movie.douban.com/subject/36025639/","",
"美丽人生 / La vita è bella","5","2024-02-02","https://movie.douban.com/subject/1292063/","",
"重庆森林 / 重慶森林","5","2024-02-04","https://movie.douban.com/subject/1291999/","",
"残花泪 / Broken Blossoms or The Yellow Man and the Girl","5","2024-02-05","https://movie.douban.com/subject/1298420/","",
"阿飞正传 / 阿飛正傳","5","2024-02-06","https://movie.douban.com/subject/1305690/","",
"坠落的审判 / Anatomie d'une chute","5","2024-02-08","https://movie.douban.com/subject/35633650/","",
"狗神 / DogMan","5","2024-02-08","https://movie.douban.com/subject/35736202/","",
"喜丧","5","2024-02-11","https://movie.douban.com/subject/26671361/","",
"周处除三害 / 周處除三害","4","2024-03-03","https://movie.douban.com/subject/36151692/","",
"地狱尖兵 / Лучшие в аду","5","2024-03-09","https://movie.douban.com/subject/36118263/","",
"罗马假日 / Roman Holiday","5","2024-03-16","https://movie.douban.com/subject/1293839/","",
"狩猎 / Jagten","5","2024-04-03","https://movie.douban.com/subject/6985810/","",
"伊万的童年 / Иваново детство","5","2024-04-04","https://movie.douban.com/subject/1294421/","",
"你想活出怎样的人生 / 君たちはどう生きるか","5","2024-04-05","https://movie.douban.com/subject/26925611/","",
"发条橙 / A Clockwork Orange","5","2024-04-13","https://movie.douban.com/subject/1292233/","",
"罗生门 / 羅生門","5","2024-05-05","https://movie.douban.com/subject/1291879/","",
"机器人之梦 / Robot Dreams","5","2024-05-12","https://movie.douban.com/subject/35426925/","watched it in the cinema 
you appeared in my dreams again and again.
but this time i have to live in the reality.
everything is gone. 
2026.1.3",
"琳达想吃鸡肉！ / Linda veut du poulet !","5","2024-05-25","https://movie.douban.com/subject/35432330/","",
"公民凯恩 / Citizen Kane","5","2024-05-26","https://movie.douban.com/subject/1292288/","",
"火山挚恋 / Fire of Love","5","2024-06-06","https://movie.douban.com/subject/35694766/","",
"复仇狗联盟 / Strays","5","2024-06-09","https://movie.douban.com/subject/35802912/","",
"银翼杀手2049 / Blade Runner 2049","5","2024-07-11","https://movie.douban.com/subject/10512661/","",
"雨中曲 / Singin' in the Rain","5","2024-07-11","https://movie.douban.com/subject/1293460/","",
"影武者","5","2024-07-11","https://movie.douban.com/subject/1303067/","",
"霸王别姬","5","2024-07-11","https://movie.douban.com/subject/1291546/","",
"银翼杀手 / Blade Runner","5","2024-07-14","https://movie.douban.com/subject/1291839/","",
"妄想代理人","5","2024-07-14","https://movie.douban.com/subject/1441053/","",
"天使之卵 / 天使のたまご","5","2024-07-15","https://movie.douban.com/subject/1467779/","",
"沉默的羔羊 / The Silence of the Lambs","5","2024-07-16","https://movie.douban.com/subject/1293544/","",
"天堂电影院 / Nuovo Cinema Paradiso","5","2024-07-16","https://movie.douban.com/subject/1291828/","",
"爱乐之城 / La La Land","5","2024-07-16","https://movie.douban.com/subject/25934014/","",
"漂流少年 / Sonny Boy","5","2024-07-16","https://movie.douban.com/subject/35427522/","",
"乡愁 / Ностальгия","5","2024-07-17","https://movie.douban.com/subject/1291556/","",
"魔女宅急便 / 魔女の宅急便","5","2024-07-17","https://movie.douban.com/subject/1307811/","",
"布达佩斯大饭店 / The Grand Budapest Hotel","5","2024-07-18","https://movie.douban.com/subject/11525673/","",
"侧耳倾听 / 耳をすませば","5","2024-07-19","https://movie.douban.com/subject/1297052/","",
"小羊肖恩 / Shaun the Sheep Movie","5","2024-07-20","https://movie.douban.com/subject/24397586/","",
"春宵苦短，少女前进吧！ / 夜は短し歩けよ乙女","5","2024-07-20","https://movie.douban.com/subject/26935251/","",
"飞越疯人院 / One Flew Over the Cuckoo's Nest","5","2024-07-20","https://movie.douban.com/subject/1292224/","",
"断背山 / Brokeback Mountain","5","2024-07-20","https://movie.douban.com/subject/1418834/","",
"名侦探柯南：瞳孔中的暗杀者 / 名探偵コナン 瞳の中の暗殺者","5","2024-07-21","https://movie.douban.com/subject/2357701/","",
"攻壳机动队SAC：笑面男 / 攻殻機動隊 STAND ALONE COMPLEX The Lau...","5","2024-07-24","https://movie.douban.com/subject/2078804/","",
"攻壳机动队SAC 2nd GIG：个别的十一人 / 攻殻機動隊 S.A.C. 2nd GI...","5","2024-07-24","https://movie.douban.com/subject/2352020/","",
"借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ","5","2024-07-24","https://movie.douban.com/subject/4202302/","",
"攻壳机动队SSS / 攻殻機動隊 STAND ALONE COMPLEX Solid State Soc...","5","2024-07-25","https://movie.douban.com/subject/1870128/","",
"玲音 / Serial Experiments: Lain","5","2024-07-26","https://movie.douban.com/subject/1417233/","",
"死侍与金刚狼 / Deadpool & Wolverine","4","2024-07-27","https://movie.douban.com/subject/26957900/","",
"剑豪生死斗 / シグルイ","5","2024-07-28","https://movie.douban.com/subject/3206620/","",
"穿条纹睡衣的男孩 / The Boy in the Striped Pajamas","5","2024-07-30","https://movie.douban.com/subject/3008247/","",
"怦然心动 / Flipped","5","2024-08-17","https://movie.douban.com/subject/3319755/","",
"遗愿清单 / The Bucket List","5","2024-08-31","https://movie.douban.com/subject/1867345/","",
"边境杀手 / Sicario","5","2024-08-31","https://movie.douban.com/subject/25881247/","",
"沙丘2 / Dune: Part Two","5","2024-08-31","https://movie.douban.com/subject/35575567/","",
"降临 / Arrival","5","2024-08-31","https://movie.douban.com/subject/21324900/","",
"海边的曼彻斯特 / Manchester by the Sea","5","2024-09-16","https://movie.douban.com/subject/25980443/","",
"低俗小说 / Pulp Fiction","5","2024-10-01","https://movie.douban.com/subject/1291832/","",
"八恶人 / The Hateful Eight","5","2024-10-01","https://movie.douban.com/subject/25787888/","",
"被解救的姜戈 / Django Unchained","5","2024-10-02","https://movie.douban.com/subject/6307447/","",
"2001太空漫游 / 2001: A Space Odyssey","5","2024-10-03","https://movie.douban.com/subject/1292226/","",
"僵尸 / 殭屍","5","2024-10-13","https://movie.douban.com/subject/22715021/","",
"无耻混蛋 / Inglourious Basterds","5","2024-10-20","https://movie.douban.com/subject/1438652/","",
"回忆三部曲 / Memories","5","2024-10-27","https://movie.douban.com/subject/1307897/","",
"风筝 / カイト","5","2024-11-02","https://movie.douban.com/subject/4749446/","",
"阿基拉 / Akira","5","2024-11-03","https://movie.douban.com/subject/1302770/","",
"东邪西毒：终极版 / 東邪西毒終極版","5","2024-11-16","https://movie.douban.com/subject/3726072/","",
"卧虎藏龙 / 臥虎藏龍","5","2024-11-16","https://movie.douban.com/subject/1301168/","",
"一代宗师 / 一代宗師","5","2024-11-17","https://movie.douban.com/subject/3821067/","",
"心灵捕手 / Good Will Hunting","5","2024-11-24","https://movie.douban.com/subject/1292656/","",
"美丽心灵 / A Beautiful Mind","5","2024-12-01","https://movie.douban.com/subject/1306029/","",
"金属家庭 第二季 / Metal Family Season 2","5","2024-12-15","https://movie.douban.com/subject/35923799/","",
"金属家庭 第一季 / Metal Family Season 1","5","2024-12-15","https://movie.douban.com/subject/35639411/","",
"海街日记 / 海街diary","5","2024-12-21","https://movie.douban.com/subject/25895901/","",
"奇爱博士 / Dr. Strangelove or: How I Learned to Stop Worrying ...","5","2024-12-22","https://movie.douban.com/subject/1322848/","",
"钢琴家 / The Pianist","5","2024-12-29","https://movie.douban.com/subject/1296736/","",
"比海更深 / 海よりもまだ深く","5","2025-01-01","https://movie.douban.com/subject/26694988/","很难改变一个人",
"破·地狱 / 破·地獄","4","2025-01-24","https://movie.douban.com/subject/36712987/","没懂哪里好真的",
"魔鬼代言人 / The Devil's Advocate","5","2025-01-25","https://movie.douban.com/subject/1298909/","虽然现在看来特效很尴尬但是一部很好的电影",
"隔壁房间 / The Room Next Door","5","2025-01-26","https://movie.douban.com/subject/36687720/","友人推荐下的第一次尝试",
"爱尔兰人 / The Irishman","5","2025-01-26","https://movie.douban.com/subject/6981153/","好吧就是你是黑帮大佬侥幸活下来了老了之后骨头还是会散架。英雄末路之感明显。法庭上说正义的那段（法官也收钱了）想起昨天看的魔鬼代言人很有趣",
"穿越时空的少女 / 時をかける少女","4","2025-01-28","https://movie.douban.com/subject/1937946/","Time waits for no one.庆幸自己目前都没有后悔的事（但是谁知道呢也许以后会后悔深夜还在看电影吧哈哈）大概也已经过了看这种电影的年纪，并没有被爱情感动。",
"徒手攀岩 / Free Solo","5","2025-01-30","https://movie.douban.com/subject/30167509/","impressive",
"蝴蝶效应 / The Butterfly Effect","5","2025-01-30","https://movie.douban.com/subject/1292343/","虽然有些小 bug 比如基督显灵处，但是总体来说逻辑自洽很震撼。导演特别设计的前两个死婴（大概是男主的兄弟姐妹）无疑是画龙点睛之笔。其实主题上来说与四叠半有所相似，前者是无论幻想怎么做出不同的决定结果都并不会完美，活在当下；此片则点出了即使拥有改变能力的无力，总会牵一发而动全身，带来新的问题。生活也许本就无需改变，你不知道下一次是否在向坏处接近。你怎么知道不是在向好处发展呢？
此外想起 b 站网友的一句评论：要永远相信有一个不存在的人在爱着你。
庆幸现在爱着我的人仍然存在。",
"怪兽电力公司 / Monsters, Inc.","5","2025-02-01","https://movie.douban.com/subject/1291579/","",
"彗星来的那一夜 / Coherence","4","2025-02-02","https://movie.douban.com/subject/25807345/","友人推荐了很多次，在这样的成本下真的是没谁了。但是感觉还有很多瑕疵和漏洞，难以理解人物的一些行为，难以被打动。",
"绿皮书 / Green Book","5","2025-02-02","https://movie.douban.com/subject/27060077/","很牛不知不觉就看完了。雨中那场戏非常好演员很有爆发力",
"头脑特工队2 / Inside Out 2","4","2025-02-04","https://movie.douban.com/subject/36090457/","好看好看每个情绪的个性都很鲜明，故事虽然老套但是也还不错。也许在几年前青春期时看会更喜欢",
"七宗罪 / Se7en","5","2025-02-05","https://movie.douban.com/subject/1292223/","很精彩尺度也很大，虽然能够猜到结局但是弗里曼就不能骗皮特吗？但是换我是皮特我也会杀他，感觉凶手的作案动机解释的也比较简单，竟然看待世界的方式和老弗里曼差不多但是结果行为如此激进，而且皮特为什么要调来也没有解释",
"汉尼拔 / Hannibal","3","2025-02-12","https://movie.douban.com/subject/1301746/","远不如沉默的羔羊",
"荒野猎人 / The Revenant","4","2025-02-12","https://movie.douban.com/subject/5327268/","小李子演技确实不错，雪天的场景虽然不错但是并没有带来太大震撼，队长人很好虽然知道最好肯定会死。
印象很深刻的是单挑熊还有钻进马的那一段，装死人诱敌也不错。看主要是因为刚看完坂本龙一的自传，了解到了之前就一直有想看的这个还有导演，片尾的配乐很不错。更感兴趣的是同一导演的通天塔，期待皮特的表演
只要一息尚存，就要全力战斗。
刚刚度过了考试失落的时期，加油，顶住压力！",
"哪吒之魔童闹海","5","2025-02-15","https://movie.douban.com/subject/34780991/","",
